timestamp_actual,operation,operationCount
2015-10-06 11:13:20.000,scroll_down,379
2015-10-06 14:00:00.000,target_clicked,51
2015-10-06 14:00:00.000,scroll_down,127
2015-10-06 14:00:00.000,scroll_up,28
2015-10-06 14:00:00.000,select,38
2015-10-06 16:46:40.000,select,5
2015-10-06 16:46:40.000,scroll_up,68
2015-10-06 16:46:40.000,target_clicked,7
2015-10-06 16:46:40.000,scroll_down,194
2015-10-06 19:33:20.000,target_clicked,5
2015-10-06 19:33:20.000,scroll_down,385
2015-10-06 19:33:20.000,scroll_up,60
2015-10-06 19:33:20.000,select,2
2015-10-06 22:20:00.000,target_clicked,4
2015-10-06 22:20:00.000,select,1
2015-10-06 22:20:00.000,scroll_down,2226
2015-10-06 22:20:00.000,scroll_up,919
2015-10-07 01:06:40.000,scroll_down,1481
2015-10-07 01:06:40.000,scroll_up,446
2015-10-07 01:06:40.000,select,1
2015-10-07 01:06:40.000,target_clicked,8
2015-10-07 03:53:20.000,scroll_up,383
2015-10-07 03:53:20.000,target_clicked,7
2015-10-07 03:53:20.000,scroll_down,1228
2015-10-07 06:40:00.000,scroll_up,3
2015-10-07 06:40:00.000,scroll_down,37
2015-10-07 15:00:00.000,target_clicked,3
2015-10-07 17:46:40.000,scroll_up,16
2015-10-07 17:46:40.000,select,2
2015-10-07 17:46:40.000,scroll_down,120
2015-10-07 17:46:40.000,target_clicked,3
2015-10-07 20:33:20.000,scroll_up,559
2015-10-07 20:33:20.000,scroll_down,2368
2015-10-07 20:33:20.000,target_clicked,6
2015-10-07 23:20:00.000,scroll_up,1554
2015-10-07 23:20:00.000,scroll_down,4597
2015-10-07 23:20:00.000,target_clicked,18
2015-10-08 02:06:40.000,target_clicked,2
2015-10-08 02:06:40.000,scroll_down,1581
2015-10-08 02:06:40.000,scroll_up,1230
2015-10-08 02:06:40.000,select,1
2015-10-08 04:53:20.000,scroll_down,69
2015-10-08 04:53:20.000,scroll_up,15
2015-10-08 07:40:00.000,scroll_up,125
2015-10-08 07:40:00.000,select,2
2015-10-08 07:40:00.000,scroll_down,218
2015-10-08 07:40:00.000,target_clicked,2
2015-10-08 21:33:20.000,scroll_up,75
2015-10-08 21:33:20.000,scroll_down,39
2015-10-08 21:33:20.000,target_clicked,1
2015-10-09 00:20:00.000,scroll_down,225
2015-10-09 00:20:00.000,scroll_up,2
2015-10-09 05:53:20.000,target_clicked,5
2015-10-09 05:53:20.000,scroll_down,8
2015-10-09 05:53:20.000,select,2
2015-10-09 08:40:00.000,scroll_down,10
2015-10-09 08:40:00.000,scroll_up,29
2015-10-09 17:00:00.000,scroll_up,2
2015-10-09 17:00:00.000,scroll_down,69
2015-10-10 04:06:40.000,scroll_down,629
2015-10-10 04:06:40.000,target_clicked,1
2015-10-10 04:06:40.000,scroll_up,89
2015-10-10 06:53:20.000,scroll_down,12
2015-10-10 06:53:20.000,target_clicked,3
2015-10-10 18:00:00.000,scroll_down,490
2015-10-10 18:00:00.000,scroll_up,146
2015-10-10 18:00:00.000,target_clicked,5
2015-10-10 23:33:20.000,scroll_up,156
2015-10-10 23:33:20.000,scroll_down,160
2015-10-11 02:20:00.000,scroll_down,761
2015-10-11 02:20:00.000,target_clicked,1
2015-10-11 02:20:00.000,scroll_up,299
2015-10-11 05:06:40.000,scroll_down,13
2015-10-11 05:06:40.000,scroll_up,20
2015-10-11 16:13:20.000,scroll_down,1150
2015-10-11 16:13:20.000,scroll_up,34
2015-10-11 16:13:20.000,select,2
2015-10-11 16:13:20.000,target_clicked,5
2015-10-11 19:00:00.000,scroll_down,404
2015-10-11 19:00:00.000,scroll_up,2
